artist,title,start_date,end_date,low_estimate,high_estimate,price,auction_site,year,artwork_type,edition,height_cm,width_cm,currency,low_estimate_USD,high_estimate_USD,price_USD
Luc Tuymans,Untitled,2024-09-25T14:00:00,2024-09-25T14:00:00,20000.0,30000.0,27940.0,Phillips,1989,oil,,23.5,15.2,$,20000.0,30000.0,27940.0
Luc Tuymans,Two works: (i) Untitled (man with tie); (ii) Untitled,2024-09-23T16:00:00,2024-10-03T16:00:00,4000.0,6000.0,7620.0,Phillips,1978,ink,,20.6,15.2,$,4000.0,6000.0,7620.0
Luc Tuymans,Altar,2024-01-17T17:00:00,2024-01-18T18:00:00,1000.0,1500.0,2540.0,Phillips,2002,ink,,59.6,80.5,£,1267.68,1901.53,3219.92
Luc Tuymans,Rome,2023-10-13T14:00:00,2023-10-13T14:00:00,1200000.0,1800000.0,1500000.0,Phillips,2007,oil,,231.5,312.5,£,1461988.31,2192982.46,1827485.38
Luc Tuymans,A Place in the Sun,2023-10-12T12:00:00,2023-10-12T12:00:00,80000.0,120000.0,,Phillips,1986,oil,,60.0,50.0,£,98530.66,147796.0,
Luc Tuymans,Illegitimate VII,2023-06-30T13:00:00,2023-06-30T13:00:00,250000.0,350000.0,279400.0,Phillips,1997,oil,,59.6,38.2,£,315365.91,441512.27,352452.94
Luc Tuymans,Allo! (Hello!) (S. & S. 64),2023-06-07T16:00:00,2023-06-08T11:00:00,4000.0,6000.0,5080.0,Phillips,2012,screenprint,,37.0,51.5,£,4978.34,7467.52,6322.5
Luc Tuymans,Seal,2023-05-16T18:00:00,2023-05-16T18:00:00,200000.0,300000.0,457200.0,Phillips,2007,oil,,49.8,70.2,$,200000.0,300000.0,457200.0
Luc Tuymans,Untitled,2023-04-18T15:00:00,2023-04-20T21:00:00,4000.0,6000.0,2540.0,Phillips,1990,graphite,,15.9,18.4,$,4000.0,6000.0,2540.0
Luc Tuymans,Absence,2022-11-15T23:00:00,2022-11-15T23:00:00,400000.0,600000.0,453600.0,Phillips,2001,oil,,120.0,137.5,$,400000.0,600000.0,453600.0
Luc Tuymans,Lantern,2022-10-14T15:00:00,2022-10-14T15:00:00,200000.0,300000.0,226800.0,Phillips,1993,oil,,49.7,49.5,£,226078.1,339117.16,256372.57
Luc Tuymans,Candy Container,2022-06-30T15:00:00,2022-06-30T15:00:00,250000.0,350000.0,352800.0,Phillips,1993,oil,,74.5,60.1,£,303294.99,424612.98,428009.88
